a,to,PREP
al,to the,PREP
amo,master,NOUN
asado,roast,NOUN
basura,garbage,NOUN
bañando,bathing,GERUND
botas,boots,NOUN
calle,street,NOUN
campo,country,NOUN
capa,layer,NOUN
carroza,carriage,NOUN
casi,almost,ABVERB
castillo,castle,NOUN
cazar,to hunt,VERB
cenó,had supper,VERB
cerca,near,ADVERB
cogió,took,VERB
comer,to eat,VERB
con,with,PREP
continuación,continuation,NOUN
cuando,when,CONJ
cuenta,calculation,NOUN
daba,was giving,VERB
de,of,PREP
del,of the,PREP
dijo,said,VERB
dio,gave,VERB
disfrute,enjoy,VERB
durante,during,PREP
día,day,NOUN
el,the,ARTICLE
en,in,PREP
encontrar,to find,VERN
era,was,VERB
esa,that,ADJ
espaldas,backs,NOUN
estaban,were,VERB
este,this,ADJ
estómago,stomach,NOUN
excelentísimo,excellency,ADJ
extrema,extreme,ADJ
familia,family,NOUN
fue,was,VERB
gato,cat,NOUN
gracias,thanks,EXCL
había,had,VERB
haraposas,ragged,ADJ
hasta,until,PREP
jabalí,wild boar,NOUN
joven,young,ADJ
la,the,ARTICLE
las,the,ARTICLE
lavándose,washing,GERUND
le,him,PRONOUN
limpió,cleaned,VERB
llevaba,was taking,VERB
llevó,took,VERB
lo,it,PRONOUN
los,the,ARTICLE
marqués,marquis,NOUN
mi,my,ADJ
mientras,meanwhile,ADVERB
muchacho,boy,NOUN
no,no,ADVERB
noche,night,NOUN
nombre,name,NOUN
nuevos,new,ADJ
para,for,PREP
parecieron,seemed,VERB
pasó,passed,VERB
pobre,poor,ADJ
pobreza,poverty,NOUN
podía,could,VERB
poner,to put,VERB
puestas,set,ADJ
puso,put,VERB
que,that,CONJ
quitara,would take out,VERB
regala,give,VERB
regalos,gifts,NOUN
regalárselo,to give him it,VERB
reino,realm,NOUN
repitió,repeated,VERB
rey,king,NOUN
ropa,clothes,NOUN
ropas,clothes,NOUN
rápidamente,quickly,ADVERB
río,river,NOUN
salud,health,NOUN
se,him,PRONOUN
semana,week,NOUN
señor,man,NOUN
siguiente,following,ADJ
sombrero,hat,NOUN
su,his,ADJ
sus,their,ADJ
tenía,had,VERB
toda,all,NOUN
un,a,ARTICLE
una,a,ARTICLE
unas,some,ARTICLE
vez,time,NOUN
vio,saw,VERB
vivía,was living,VERB
volvió,came back,VERB
y,and,CONJ
él,he,PRONOUN
único,only,ADJ
<PERIOD>,<PERIOD>,PUNCT
<COMMA>,<COMMA>,PUNCT
<COLON>,<COLON>,PUNCT
<OPENQUOTE>,<OPENQUOTE>,PUNCT
<CLOSEQUOTE>,<CLOSEQUOTE>,PUNCT
<OTHERPUNCT>,<OTHERPUNCT>,PUNCT
